jurisdiccion,ambito,tipo_gestion,nivel_desempeno,porcentaje,anio_evaluacion,nivel_educativo,anio_escolar
Catamarca,Urbano,Privado,Satisfactorio,13.632382705344886,2024,Secundario,5to año / 6to año
Chaco,Rural,Estatal,Satisfactorio,3.0473057341329444,2024,Secundario,5to año / 6to año
Chaco,Rural,Privado,Satisfactorio,6.430971280940207,2024,Secundario,5to año / 6to año
Chaco,Urbano,Estatal,Satisfactorio,7.010738599823893,2024,Secundario,5to año / 6to año
Chaco,Urbano,Privado,Satisfactorio,13.860431813619295,2024,Secundario,5to año / 6to año
Chubut,Rural,Estatal,Satisfactorio,14.502830535829075,2024,Secundario,5to año / 6to año
Chubut,Rural,Privado,Satisfactorio,18.750000000000004,2024,Secundario,5to año / 6to año
Chubut,Urbano,Estatal,Satisfactorio,13.98724482410274,2024,Secundario,5to año / 6to año
Chubut,Urbano,Privado,Satisfactorio,34.947061803112724,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Estatal,Satisfactorio,27.446080756568737,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Privado,Satisfactorio,40.08298742279212,2024,Secundario,5to año / 6to año
Corrientes,Rural,Estatal,Satisfactorio,4.282155760753426,2024,Secundario,5to año / 6to año
Corrientes,Rural,Privado,Satisfactorio,7.636509233237043,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Estatal,Satisfactorio,9.039548977279368,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Privado,Satisfactorio,20.160948083573878,2024,Secundario,5to año / 6to año
Córdoba,Rural,Estatal,Satisfactorio,13.550242638195744,2024,Secundario,5to año / 6to año
Córdoba,Rural,Privado,Satisfactorio,27.695981866459256,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Estatal,Satisfactorio,14.857545123509242,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Privado,Satisfactorio,34.838301898587794,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Estatal,Satisfactorio,13.188647833398374,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Privado,Satisfactorio,25.242433452449358,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Estatal,Satisfactorio,14.437043986300841,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Privado,Satisfactorio,26.281979576054365,2024,Secundario,5to año / 6to año
Formosa,Rural,Estatal,Satisfactorio,15.379306321759376,2024,Secundario,5to año / 6to año
Formosa,Rural,Privado,Satisfactorio,7.3949579974321775,2024,Secundario,5to año / 6to año
Formosa,Urbano,Estatal,Satisfactorio,8.934845204018602,2024,Secundario,5to año / 6to año
Formosa,Urbano,Privado,Satisfactorio,19.773072267777763,2024,Secundario,5to año / 6to año
Jujuy,Rural,Estatal,Satisfactorio,7.209993648912808,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Estatal,Satisfactorio,14.997341438252837,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Privado,Satisfactorio,22.499634082692957,2024,Secundario,5to año / 6to año
La Pampa,Rural,Estatal,Satisfactorio,17.083593173492247,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Estatal,Satisfactorio,14.200261055639956,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Privado,Satisfactorio,36.433602327509284,2024,Secundario,5to año / 6to año
La Rioja,Rural,Estatal,Satisfactorio,8.395186406994263,2024,Secundario,5to año / 6to año
La Rioja,Rural,Privado,Satisfactorio,15.000000228571423,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Estatal,Satisfactorio,6.35271355541082,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Privado,Satisfactorio,21.876909850595364,2024,Secundario,5to año / 6to año
Mendoza,Rural,Estatal,Satisfactorio,7.2197493893085625,2024,Secundario,5to año / 6to año
Mendoza,Rural,Privado,Satisfactorio,24.118248835759328,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Estatal,Satisfactorio,15.222051708199228,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Privado,Satisfactorio,25.94754117062252,2024,Secundario,5to año / 6to año
Misiones,Rural,Estatal,Satisfactorio,4.353396083383041,2024,Secundario,5to año / 6to año
Misiones,Rural,Privado,Satisfactorio,10.459166138065203,2024,Secundario,5to año / 6to año
Misiones,Urbano,Estatal,Satisfactorio,8.911019613153199,2024,Secundario,5to año / 6to año
Misiones,Urbano,Privado,Satisfactorio,16.456131637119736,2024,Secundario,5to año / 6to año
Neuquén,Rural,Estatal,Satisfactorio,6.618123155603723,2024,Secundario,5to año / 6to año
Neuquén,Rural,Privado,Satisfactorio,0.0,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Estatal,Satisfactorio,16.02348743930524,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Privado,Satisfactorio,28.54413870161575,2024,Secundario,5to año / 6to año
Río Negro,Rural,Estatal,Satisfactorio,8.837554563551917,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Estatal,Satisfactorio,14.163627651981706,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Privado,Satisfactorio,38.07730160262844,2024,Secundario,5to año / 6to año
Salta,Rural,Estatal,Satisfactorio,6.573980736390421,2024,Secundario,5to año / 6to año
Salta,Rural,Privado,Satisfactorio,4.347826012413622,2024,Secundario,5to año / 6to año
Salta,Urbano,Estatal,Satisfactorio,12.961566975242784,2024,Secundario,5to año / 6to año
Salta,Urbano,Privado,Satisfactorio,30.88839882510388,2024,Secundario,5to año / 6to año
San Juan,Rural,Estatal,Satisfactorio,3.008452476588239,2024,Secundario,5to año / 6to año
San Juan,Rural,Privado,Satisfactorio,12.467532500185527,2024,Secundario,5to año / 6to año
San Juan,Urbano,Estatal,Satisfactorio,11.605934865323425,2024,Secundario,5to año / 6to año
San Juan,Urbano,Privado,Satisfactorio,14.544323334253903,2024,Secundario,5to año / 6to año
San Luis,Rural,Estatal,Satisfactorio,11.443639955721952,2024,Secundario,5to año / 6to año
San Luis,Urbano,Estatal,Satisfactorio,11.131512920719326,2024,Secundario,5to año / 6to año
San Luis,Urbano,Privado,Satisfactorio,25.225019654019565,2024,Secundario,5to año / 6to año
